candidate_id,title,retrieval_score
CAND_0094056,NLP Engineer,19
CAND_0096172,NLP Engineer,19
CAND_0000031,Recommendation Systems Engineer,18
CAND_0015578,AI Engineer,18
CAND_0018549,Recommendation Systems Engineer,18
CAND_0018722,Recommendation Systems Engineer,18
CAND_0028793,Search Engineer,18
CAND_0031593,Search Engineer,18
CAND_0043228,Applied ML Engineer,18
CAND_0052328,Recommendation Systems Engineer,18
CAND_0058575,AI Engineer,18
CAND_0065878,Senior Data Scientist,18
CAND_0078492,Recommendation Systems Engineer,18
CAND_0084819,Search Engineer,18
CAND_0087364,Recommendation Systems Engineer,18
CAND_0091534,AI Engineer,18
CAND_0093547,Senior Machine Learning Engineer,18
CAND_0093912,Senior Data Scientist,18
CAND_0002025,Senior AI Engineer,17
CAND_0009024,Search Engineer,17
CAND_0015528,Applied ML Engineer,17
CAND_0030348,Machine Learning Engineer,17
CAND_0036863,Senior Data Scientist,17
CAND_0040887,Machine Learning Engineer,17
CAND_0049896,Search Engineer,17
CAND_0051004,Senior Data Scientist,17
CAND_0051630,Machine Learning Engineer,17
CAND_0053591,AI Engineer,17
CAND_0001218,AI Specialist,16
CAND_0007411,Senior Machine Learning Engineer,16
CAND_0011687,Senior NLP Engineer,16
CAND_0027691,NLP Engineer,16
CAND_0030031,AI Engineer,16
CAND_0037566,Machine Learning Engineer,16
CAND_0039838,Recommendation Systems Engineer,16
CAND_0042029,Senior Data Scientist,16
CAND_0044222,AI Engineer,16
CAND_0046924,Computer Vision Engineer,16
CAND_0047721,Senior Data Scientist,16
CAND_0049538,Applied ML Engineer,16
CAND_0054123,Applied ML Engineer,16
CAND_0054394,Recommendation Systems Engineer,16
CAND_0061339,Search Engineer,16
CAND_0064326,Search Engineer,16
CAND_0066999,Recommendation Systems Engineer,16
CAND_0074225,Machine Learning Engineer,16
CAND_0013536,Applied ML Engineer,15
CAND_0013613,Machine Learning Engineer,15
CAND_0024466,Search Engineer,15
CAND_0037000,Search Engineer,15
CAND_0058688,AI Engineer,15
CAND_0061655,Machine Learning Engineer,15
CAND_0064904,AI Engineer,15
CAND_0070202,Machine Learning Engineer,15
CAND_0081053,NLP Engineer,15
CAND_0022812,Applied ML Engineer,14
CAND_0024620,AI Engineer,14
CAND_0037944,Senior Data Scientist,14
CAND_0039521,Search Engineer,14
CAND_0052335,Applied ML Engineer,14
CAND_0057701,Recommendation Systems Engineer,14
CAND_0061175,AI Research Engineer,14
CAND_0064270,Applied ML Engineer,14
CAND_0070485,Search Engineer,14
CAND_0076251,Search Engineer,14
CAND_0079284,Machine Learning Engineer,14
CAND_0080766,Staff Machine Learning Engineer,14
CAND_0093883,AI Research Engineer,14
CAND_0095528,Senior Data Scientist,14
CAND_0099401,NLP Engineer,14
CAND_0099806,AI Engineer,14
CAND_0010257,Senior Data Scientist,13
CAND_0012957,Search Engineer,13
CAND_0014440,Recommendation Systems Engineer,13
CAND_0016163,Applied ML Engineer,13
CAND_0019480,NLP Engineer,13
CAND_0020708,Search Engineer,13
CAND_0033749,Computer Vision Engineer,13
CAND_0036437,Search Engineer,13
CAND_0047521,Junior ML Engineer,13
CAND_0052682,NLP Engineer,13
CAND_0072660,Machine Learning Engineer,13
CAND_0076163,NLP Engineer,13
CAND_0078262,ML Engineer,13
CAND_0091909,Machine Learning Engineer,13
CAND_0095619,NLP Engineer,13
CAND_0097896,AI Research Engineer,13
CAND_0000399,Business Analyst,12
CAND_0000847,HR Manager,12
CAND_0002120,ML Engineer,12
CAND_0002631,Operations Manager,12
CAND_0005147,Mechanical Engineer,12
CAND_0005197,Graphic Designer,12
CAND_0005716,HR Manager,12
CAND_0005783,HR Manager,12
CAND_0007177,HR Manager,12
CAND_0007460,AI Engineer,12
CAND_0007471,Graphic Designer,12
CAND_0007719,Sales Executive,12
CAND_0007997,Operations Manager,12
CAND_0007999,Content Writer,12
CAND_0008239,AI Engineer,12
CAND_0009236,AI Specialist,12
CAND_0010267,Marketing Manager,12
CAND_0011432,Senior Data Scientist,12
CAND_0012498,HR Manager,12
CAND_0012839,Accountant,12
CAND_0012985,HR Manager,12
CAND_0013393,ML Engineer,12
CAND_0013771,Accountant,12
CAND_0014320,Customer Support,12
CAND_0014631,Customer Support,12
CAND_0015051,Marketing Manager,12
CAND_0016180,Marketing Manager,12
CAND_0016317,Project Manager,12
CAND_0018127,Business Analyst,12
CAND_0018653,ML Engineer,12
CAND_0020236,Civil Engineer,12
CAND_0020855,Content Writer,12
CAND_0020931,Business Analyst,12
CAND_0022296,Accountant,12
CAND_0022796,HR Manager,12
CAND_0023092,Mechanical Engineer,12
CAND_0023444,Mechanical Engineer,12
CAND_0023729,Customer Support,12
CAND_0023998,Operations Manager,12
CAND_0024289,Operations Manager,12
CAND_0026828,Accountant,12
CAND_0027198,Accountant,12
CAND_0027680,Accountant,12
CAND_0028817,Project Manager,12
CAND_0029275,Sales Executive,12
CAND_0029329,Content Writer,12
CAND_0029373,Business Analyst,12
CAND_0029563,Content Writer,12
CAND_0029759,HR Manager,12
CAND_0031271,HR Manager,12
CAND_0032444,Marketing Manager,12
CAND_0032744,Accountant,12
CAND_0032771,Accountant,12
CAND_0033556,Graphic Designer,12
CAND_0033748,Customer Support,12
CAND_0035195,Business Analyst,12
CAND_0035764,Senior Software Engineer (ML),12
CAND_0036150,Project Manager,12
CAND_0036548,Operations Manager,12
CAND_0036891,Civil Engineer,12
CAND_0037395,Accountant,12
CAND_0038157,Content Writer,12
CAND_0039087,Sales Executive,12
CAND_0039329,Operations Manager,12
CAND_0039582,Sales Executive,12
CAND_0039825,Graphic Designer,12
CAND_0041569,Graphic Designer,12
CAND_0042282,Sales Executive,12
CAND_0042618,HR Manager,12
CAND_0044119,Marketing Manager,12
CAND_0044262,Data Scientist,12
CAND_0044442,Marketing Manager,12
CAND_0044821,Content Writer,12
CAND_0044917,Graphic Designer,12
CAND_0047065,HR Manager,12
CAND_0047091,Marketing Manager,12
CAND_0047215,Operations Manager,12
CAND_0048166,ML Engineer,12
CAND_0048366,Project Manager,12
CAND_0048584,Business Analyst,12
CAND_0050679,Civil Engineer,12
CAND_0051200,Business Analyst,12
CAND_0051486,AI Specialist,12
CAND_0052141,Project Manager,12
CAND_0052387,Business Analyst,12
CAND_0052462,Graphic Designer,12
CAND_0052590,Operations Manager,12
CAND_0054220,Operations Manager,12
CAND_0055649,Marketing Manager,12
CAND_0055758,Content Writer,12
CAND_0057133,Marketing Manager,12
CAND_0057668,Mechanical Engineer,12
CAND_0058327,Customer Support,12
CAND_0058340,Sales Executive,12
CAND_0061102,Civil Engineer,12
CAND_0061985,Operations Manager,12
CAND_0064670,Content Writer,12
CAND_0064746,Graphic Designer,12
CAND_0066395,Sales Executive,12
CAND_0067643,AI Research Engineer,12
CAND_0067654,Graphic Designer,12
CAND_0069194,Civil Engineer,12
CAND_0069720,Graphic Designer,12
CAND_0069771,Junior ML Engineer,12
CAND_0070038,Sales Executive,12
CAND_0070062,Operations Manager,12
CAND_0073339,Civil Engineer,12
CAND_0073765,Mechanical Engineer,12
CAND_0078518,Project Manager,12
CAND_0079459,Business Analyst,12
CAND_0079679,Project Manager,12
CAND_0080157,Sales Executive,12
CAND_0080359,HR Manager,12
CAND_0080661,Operations Manager,12
CAND_0081043,Graphic Designer,12
CAND_0084403,Operations Manager,12
CAND_0084718,HR Manager,12
CAND_0085289,Mechanical Engineer,12
CAND_0089225,Business Analyst,12
CAND_0089405,Civil Engineer,12
CAND_0090140,HR Manager,12
CAND_0090492,Operations Manager,12
CAND_0091045,Civil Engineer,12
CAND_0091383,Graphic Designer,12
CAND_0091545,Operations Manager,12
CAND_0092070,Business Analyst,12
CAND_0092245,Senior Data Scientist,12
CAND_0096142,Applied ML Engineer,12
CAND_0096206,Operations Manager,12
CAND_0096505,Civil Engineer,12
CAND_0098943,Graphic Designer,12
CAND_0099069,Mechanical Engineer,12
CAND_0000074,Operations Manager,11
CAND_0000212,Customer Support,11
CAND_0000220,Marketing Manager,11
CAND_0000576,Content Writer,11
CAND_0000862,Content Writer,11
CAND_0000932,Operations Manager,11
CAND_0001147,Sales Executive,11
CAND_0001494,Data Scientist,11
CAND_0002094,Sales Executive,11
CAND_0002113,Civil Engineer,11
CAND_0002336,Accountant,11
CAND_0002356,Project Manager,11
CAND_0002623,HR Manager,11
CAND_0003324,Mechanical Engineer,11
CAND_0003408,Accountant,11
CAND_0003515,Mechanical Engineer,11
CAND_0003676,Mechanical Engineer,11
CAND_0003881,Content Writer,11
CAND_0003895,Accountant,11
CAND_0003908,Operations Manager,11
CAND_0004051,Marketing Manager,11
CAND_0004330,Mechanical Engineer,11
CAND_0004471,Operations Manager,11
CAND_0004570,Marketing Manager,11
CAND_0004788,Sales Executive,11
CAND_0004980,Civil Engineer,11
CAND_0005248,Civil Engineer,11
CAND_0005426,Sales Executive,11
CAND_0005525,Mechanical Engineer,11
CAND_0005836,Accountant,11
CAND_0005851,Content Writer,11
CAND_0006127,Accountant,11
CAND_0006213,Content Writer,11
CAND_0006285,Customer Support,11
CAND_0006334,Graphic Designer,11
CAND_0006418,Machine Learning Engineer,11
CAND_0006433,Graphic Designer,11
CAND_0006581,AI Specialist,11
CAND_0006639,Operations Manager,11
CAND_0006922,Graphic Designer,11
CAND_0007860,Operations Manager,11
CAND_0007978,Business Analyst,11
CAND_0008030,Customer Support,11
CAND_0008046,Graphic Designer,11
CAND_0008094,Content Writer,11
CAND_0008375,Content Writer,11
CAND_0008565,Mechanical Engineer,11
CAND_0008795,Civil Engineer,11
CAND_0009080,Content Writer,11
CAND_0009288,Civil Engineer,11
CAND_0009425,HR Manager,11
CAND_0009734,Accountant,11
CAND_0010202,Accountant,11
CAND_0010235,Content Writer,11
CAND_0010269,Sales Executive,11
CAND_0010439,Graphic Designer,11
CAND_0010497,Graphic Designer,11
CAND_0010621,Sales Executive,11
CAND_0010911,Graphic Designer,11
CAND_0011239,Sales Executive,11
CAND_0011284,Operations Manager,11
CAND_0011323,Project Manager,11
CAND_0011450,Graphic Designer,11
CAND_0012051,Operations Manager,11
CAND_0012093,Sales Executive,11
CAND_0012310,Business Analyst,11
CAND_0012315,Marketing Manager,11
CAND_0012411,Content Writer,11
CAND_0012502,Accountant,11
CAND_0012514,Operations Manager,11
CAND_0012660,Marketing Manager,11
CAND_0013085,Marketing Manager,11
CAND_0013090,Civil Engineer,11
CAND_0013229,Mechanical Engineer,11
CAND_0013248,HR Manager,11
CAND_0013311,Customer Support,11
CAND_0013322,Business Analyst,11
CAND_0013732,Sales Executive,11
CAND_0013810,Civil Engineer,11
CAND_0013842,Civil Engineer,11
CAND_0013890,Business Analyst,11
CAND_0014159,Accountant,11
CAND_0014179,Mechanical Engineer,11
CAND_0014180,Business Analyst,11
CAND_0014392,Content Writer,11
CAND_0014439,Civil Engineer,11
CAND_0014564,Graphic Designer,11
CAND_0014639,Content Writer,11
CAND_0014886,Accountant,11
CAND_0015003,Graphic Designer,11
CAND_0015065,AI Research Engineer,11
CAND_0015789,Graphic Designer,11
CAND_0015793,Content Writer,11
CAND_0015823,Civil Engineer,11
CAND_0016178,Sales Executive,11
CAND_0016335,Graphic Designer,11
CAND_0016369,Mechanical Engineer,11
CAND_0016424,HR Manager,11
CAND_0016473,Project Manager,11
CAND_0016777,Project Manager,11
CAND_0017053,Sales Executive,11
CAND_0017054,Content Writer,11
CAND_0017129,Graphic Designer,11
CAND_0017243,HR Manager,11
CAND_0017443,Mechanical Engineer,11
CAND_0017495,Operations Manager,11
CAND_0017518,Sales Executive,11
CAND_0017552,Project Manager,11
CAND_0017718,Operations Manager,11
CAND_0017823,Sales Executive,11
CAND_0018005,Business Analyst,11
CAND_0018070,Civil Engineer,11
CAND_0018120,Civil Engineer,11
CAND_0018153,Business Analyst,11
CAND_0018202,Civil Engineer,11
CAND_0018277,Marketing Manager,11
CAND_0018384,Operations Manager,11
CAND_0018477,Project Manager,11
CAND_0018688,Sales Executive,11
CAND_0018887,Graphic Designer,11
CAND_0019183,Civil Engineer,11
CAND_0019198,Project Manager,11
CAND_0019294,Sales Executive,11
CAND_0019389,Content Writer,11
CAND_0019427,Civil Engineer,11
CAND_0019691,Customer Support,11
CAND_0019824,Graphic Designer,11
CAND_0020019,Sales Executive,11
CAND_0020083,Civil Engineer,11
CAND_0020270,Content Writer,11
CAND_0020477,Mechanical Engineer,11
CAND_0020723,Operations Manager,11
CAND_0021137,HR Manager,11
CAND_0021255,Operations Manager,11
CAND_0021410,Junior ML Engineer,11
CAND_0021437,Accountant,11
CAND_0021477,Project Manager,11
CAND_0021616,Civil Engineer,11
CAND_0021630,Sales Executive,11
CAND_0021643,Mechanical Engineer,11
CAND_0021819,Accountant,11
CAND_0021917,Accountant,11
CAND_0021976,Sales Executive,11
CAND_0022068,Mechanical Engineer,11
CAND_0022594,Sales Executive,11
CAND_0022615,Operations Manager,11
CAND_0022671,Customer Support,11
CAND_0022781,Sales Executive,11
CAND_0022826,Customer Support,11
CAND_0023017,Sales Executive,11
CAND_0023110,Project Manager,11
CAND_0023314,Accountant,11
CAND_0023420,Content Writer,11
CAND_0023515,Customer Support,11
CAND_0023583,ML Engineer,11
CAND_0023943,Marketing Manager,11
CAND_0024044,Operations Manager,11
CAND_0024156,Customer Support,11
CAND_0024216,Operations Manager,11
CAND_0024492,Mechanical Engineer,11
CAND_0025175,Project Manager,11
CAND_0025180,Accountant,11
CAND_0025615,Mechanical Engineer,11
CAND_0025629,Sales Executive,11
CAND_0025640,AI Research Engineer,11
CAND_0025811,HR Manager,11
CAND_0025882,Senior Software Engineer (ML),11
CAND_0025902,Operations Manager,11
CAND_0025924,Sales Executive,11
CAND_0026102,Marketing Manager,11
CAND_0026245,Content Writer,11
CAND_0026456,Business Analyst,11
CAND_0027450,Civil Engineer,11
CAND_0027472,Marketing Manager,11
CAND_0027640,Marketing Manager,11
CAND_0027651,Civil Engineer,11
CAND_0027759,Business Analyst,11
CAND_0028058,Customer Support,11
CAND_0028280,Customer Support,11
CAND_0028305,Accountant,11
CAND_0028355,Sales Executive,11
CAND_0028748,HR Manager,11
CAND_0028816,Customer Support,11
CAND_0028830,HR Manager,11
CAND_0028835,Sales Executive,11
CAND_0029119,Mechanical Engineer,11
CAND_0029209,Mechanical Engineer,11
CAND_0029260,Project Manager,11
CAND_0029728,Project Manager,11
CAND_0029730,Project Manager,11
CAND_0029780,Marketing Manager,11
CAND_0030218,Accountant,11
CAND_0030503,Customer Support,11
CAND_0030597,Marketing Manager,11
CAND_0030693,HR Manager,11
CAND_0030821,HR Manager,11
CAND_0030916,Graphic Designer,11
CAND_0030939,Marketing Manager,11
CAND_0030957,Marketing Manager,11
CAND_0031081,Graphic Designer,11
CAND_0031146,Operations Manager,11
CAND_0031820,Business Analyst,11
CAND_0031968,Mechanical Engineer,11
CAND_0032092,Civil Engineer,11
CAND_0032128,Mechanical Engineer,11
CAND_0032471,Civil Engineer,11
CAND_0032554,Content Writer,11
CAND_0032733,Accountant,11
CAND_0032791,Customer Support,11
CAND_0032844,Civil Engineer,11
CAND_0033196,Mechanical Engineer,11
CAND_0033202,Sales Executive,11
CAND_0033501,Customer Support,11
CAND_0033509,Civil Engineer,11
CAND_0033562,Mechanical Engineer,11
CAND_0033577,Mechanical Engineer,11
CAND_0033726,Civil Engineer,11
CAND_0033991,Mechanical Engineer,11
CAND_0034222,HR Manager,11
CAND_0034376,Business Analyst,11
CAND_0034641,Project Manager,11
CAND_0034735,Operations Manager,11
CAND_0034880,Project Manager,11
CAND_0035113,Operations Manager,11
CAND_0035119,Operations Manager,11
CAND_0035150,Marketing Manager,11
CAND_0035369,Accountant,11
CAND_0035530,Civil Engineer,11
CAND_0035535,Operations Manager,11
CAND_0035587,Business Analyst,11
CAND_0035664,Mechanical Engineer,11
CAND_0035790,Content Writer,11
CAND_0035945,Marketing Manager,11
CAND_0035958,Customer Support,11
CAND_0036561,Graphic Designer,11
CAND_0036584,Accountant,11
CAND_0036786,Mechanical Engineer,11
CAND_0036820,Customer Support,11
CAND_0036877,Accountant,11
CAND_0037406,Graphic Designer,11
CAND_0037426,Civil Engineer,11
CAND_0037466,Accountant,11
CAND_0037522,Graphic Designer,11
CAND_0037980,Senior Applied Scientist,11
CAND_0038077,Marketing Manager,11
CAND_0038511,Sales Executive,11
CAND_0038595,Graphic Designer,11
CAND_0038681,HR Manager,11
CAND_0038827,Marketing Manager,11
CAND_0038844,Civil Engineer,11
CAND_0038872,Marketing Manager,11
CAND_0039053,Project Manager,11
CAND_0039581,Graphic Designer,11
CAND_0039657,Marketing Manager,11
CAND_0039779,Graphic Designer,11
CAND_0040186,Operations Manager,11
CAND_0040420,Graphic Designer,11
CAND_0040436,Content Writer,11
CAND_0040805,Civil Engineer,11
CAND_0040871,Mechanical Engineer,11
CAND_0040876,Sales Executive,11
CAND_0040965,Accountant,11
CAND_0041149,Civil Engineer,11
CAND_0041211,HR Manager,11
CAND_0041433,Marketing Manager,11
CAND_0042100,Machine Learning Engineer,11
CAND_0042262,Operations Manager,11
CAND_0042285,HR Manager,11
CAND_0042378,HR Manager,11
CAND_0042380,Operations Manager,11
CAND_0042423,Operations Manager,11
CAND_0042429,Civil Engineer,11
CAND_0042673,Civil Engineer,11
CAND_0043481,Civil Engineer,11
CAND_0043534,Marketing Manager,11
CAND_0043591,Content Writer,11
CAND_0043613,Project Manager,11
CAND_0044039,Business Analyst,11
CAND_0044077,Customer Support,11
CAND_0044503,Customer Support,11
CAND_0044518,Sales Executive,11
CAND_0044585,Accountant,11
CAND_0044686,Accountant,11
CAND_0044733,Graphic Designer,11
CAND_0045064,HR Manager,11
CAND_0045080,Sales Executive,11
CAND_0045613,Computer Vision Engineer,11
CAND_0045666,Business Analyst,11
CAND_0046105,HR Manager,11
CAND_0046871,HR Manager,11
CAND_0046955,Customer Support,11
CAND_0047011,Customer Support,11
CAND_0047280,Mechanical Engineer,11
CAND_0047470,HR Manager,11
CAND_0047770,Marketing Manager,11
CAND_0048360,Computer Vision Engineer,11
CAND_0048381,Accountant,11
CAND_0048419,Graphic Designer,11
CAND_0048594,Business Analyst,11
CAND_0048669,Marketing Manager,11
CAND_0048812,Project Manager,11
CAND_0048907,Project Manager,11
CAND_0049054,Graphic Designer,11
CAND_0049237,HR Manager,11
CAND_0049246,Business Analyst,11
CAND_0049479,Business Analyst,11
CAND_0049615,ML Engineer,11
CAND_0049801,HR Manager,11
CAND_0050207,Graphic Designer,11
CAND_0050226,Project Manager,11
CAND_0050248,Civil Engineer,11
CAND_0050394,HR Manager,11
CAND_0050476,HR Manager,11
CAND_0050681,Operations Manager,11
CAND_0050841,Sales Executive,11
CAND_0051339,Business Analyst,11
CAND_0051435,Graphic Designer,11
CAND_0051747,Business Analyst,11
CAND_0051779,Sales Executive,11
CAND_0052016,Business Analyst,11
CAND_0052305,Business Analyst,11
CAND_0052448,Accountant,11
CAND_0052722,Civil Engineer,11
CAND_0052905,Graphic Designer,11
CAND_0052998,Customer Support,11
CAND_0053004,Customer Support,11
CAND_0053262,Business Analyst,11
CAND_0053385,Business Analyst,11
CAND_0053492,Content Writer,11
CAND_0053664,Civil Engineer,11
CAND_0053718,Business Analyst,11
CAND_0054124,Civil Engineer,11
CAND_0054141,HR Manager,11
CAND_0054256,Mechanical Engineer,11
CAND_0054310,Project Manager,11
CAND_0054354,Operations Manager,11
CAND_0054462,HR Manager,11
CAND_0054480,Operations Manager,11
CAND_0054768,Content Writer,11
CAND_0054804,Mechanical Engineer,11
CAND_0055009,Operations Manager,11
CAND_0055216,Civil Engineer,11
CAND_0055556,Accountant,11
CAND_0055607,Business Analyst,11
CAND_0055670,Sales Executive,11
CAND_0055737,Business Analyst,11
CAND_0055778,Project Manager,11
CAND_0055838,Graphic Designer,11
CAND_0055912,Civil Engineer,11
CAND_0056069,Mechanical Engineer,11
CAND_0056128,Graphic Designer,11
CAND_0056541,Sales Executive,11
CAND_0056720,Mechanical Engineer,11
CAND_0056881,Machine Learning Engineer,11
CAND_0057374,Business Analyst,11
CAND_0057829,Operations Manager,11
CAND_0058019,Mechanical Engineer,11
CAND_0058093,Business Analyst,11
CAND_0058145,Content Writer,11
CAND_0058219,Civil Engineer,11
CAND_0058328,Content Writer,11
CAND_0058337,Content Writer,11
CAND_0058352,Content Writer,11
CAND_0058372,Accountant,11
CAND_0058412,Senior Software Engineer (ML),11
CAND_0058424,Accountant,11
CAND_0058690,HR Manager,11
CAND_0058945,Customer Support,11
CAND_0058983,Project Manager,11
CAND_0059261,Sales Executive,11
CAND_0060116,Civil Engineer,11
CAND_0060156,Graphic Designer,11
CAND_0060253,Sales Executive,11
CAND_0060257,AI Specialist,11
CAND_0060823,Accountant,11
CAND_0060832,Mechanical Engineer,11
CAND_0060856,Operations Manager,11
CAND_0060959,Sales Executive,11
CAND_0061040,Mechanical Engineer,11
CAND_0061245,Graphic Designer,11
CAND_0061350,Content Writer,11
CAND_0061365,Business Analyst,11
CAND_0061735,Graphic Designer,11
CAND_0061776,Content Writer,11
CAND_0061891,Project Manager,11
CAND_0062164,Accountant,11
CAND_0062266,Marketing Manager,11
CAND_0062291,Customer Support,11
CAND_0062564,Content Writer,11
CAND_0062630,Business Analyst,11
CAND_0062697,Project Manager,11
CAND_0063117,Customer Support,11
CAND_0063378,Civil Engineer,11
CAND_0063436,Marketing Manager,11
CAND_0063471,Graphic Designer,11
CAND_0063646,Marketing Manager,11
CAND_0063668,Content Writer,11
CAND_0063730,Sales Executive,11
CAND_0063731,Civil Engineer,11
CAND_0064221,Project Manager,11
CAND_0064492,Accountant,11
CAND_0064567,Customer Support,11
CAND_0064615,Marketing Manager,11
CAND_0064780,Project Manager,11
CAND_0064906,Graphic Designer,11
CAND_0065195,Search Engineer,11
CAND_0065407,Sales Executive,11
CAND_0065677,Operations Manager,11
CAND_0065786,AI Specialist,11
CAND_0065862,Sales Executive,11
CAND_0066536,HR Manager,11
CAND_0066599,Mechanical Engineer,11
CAND_0066758,Project Manager,11
CAND_0066909,Accountant,11
CAND_0066945,HR Manager,11
CAND_0067040,Accountant,11
CAND_0067058,Accountant,11
CAND_0067090,HR Manager,11
CAND_0067216,Graphic Designer,11
CAND_0067264,Customer Support,11
CAND_0067646,Operations Manager,11
CAND_0067771,Civil Engineer,11
CAND_0067947,HR Manager,11
CAND_0067979,Project Manager,11
CAND_0068057,Project Manager,11
CAND_0068102,HR Manager,11
CAND_0068512,Civil Engineer,11
CAND_0068552,Project Manager,11
CAND_0068918,Mechanical Engineer,11
CAND_0068959,Graphic Designer,11
CAND_0069431,Customer Support,11
CAND_0069753,Sales Executive,11
CAND_0069761,Civil Engineer,11
CAND_0069795,Mechanical Engineer,11
CAND_0069995,Data Scientist,11
CAND_0070036,Graphic Designer,11
CAND_0070320,Sales Executive,11
CAND_0070596,Project Manager,11
CAND_0070860,Marketing Manager,11
CAND_0070863,Business Analyst,11
CAND_0071115,Recommendation Systems Engineer,11
CAND_0071139,HR Manager,11
CAND_0071334,Customer Support,11
CAND_0071342,Customer Support,11
CAND_0071395,Customer Support,11
CAND_0071564,Mechanical Engineer,11
CAND_0071881,Civil Engineer,11
CAND_0072112,Business Analyst,11
CAND_0072135,Mechanical Engineer,11
CAND_0072159,Business Analyst,11
CAND_0072485,Sales Executive,11
CAND_0072546,Marketing Manager,11
CAND_0072600,Operations Manager,11
CAND_0072652,Operations Manager,11
CAND_0072782,Content Writer,11
CAND_0073012,Project Manager,11
CAND_0073077,Operations Manager,11
CAND_0073146,Mechanical Engineer,11
CAND_0073508,Operations Manager,11
CAND_0073861,Content Writer,11
CAND_0073874,Operations Manager,11
CAND_0074300,Accountant,11
CAND_0074405,Accountant,11
CAND_0074425,Project Manager,11
CAND_0074519,Accountant,11
CAND_0074694,Graphic Designer,11
CAND_0075004,Marketing Manager,11
CAND_0075044,Graphic Designer,11
CAND_0075279,Content Writer,11
CAND_0075318,Operations Manager,11
CAND_0075486,Graphic Designer,11
CAND_0075513,Project Manager,11
CAND_0075698,Marketing Manager,11
CAND_0075747,Customer Support,11
CAND_0075784,Marketing Manager,11
CAND_0076075,Accountant,11
CAND_0076154,Project Manager,11
CAND_0076338,Graphic Designer,11
CAND_0076805,Mechanical Engineer,11
CAND_0076962,Accountant,11
CAND_0077047,Civil Engineer,11
CAND_0077394,Content Writer,11
CAND_0077420,Civil Engineer,11
CAND_0077563,Content Writer,11
CAND_0077776,Civil Engineer,11
CAND_0077991,Sales Executive,11
CAND_0078002,Machine Learning Engineer,11
CAND_0078082,Accountant,11
CAND_0078121,Civil Engineer,11
CAND_0078384,HR Manager,11
CAND_0078425,Sales Executive,11
CAND_0079038,Graphic Designer,11
CAND_0079232,Mechanical Engineer,11
CAND_0079878,Accountant,11
CAND_0080223,Graphic Designer,11
CAND_0080225,Accountant,11
CAND_0080326,Marketing Manager,11
CAND_0080344,Senior Software Engineer (ML),11
CAND_0080494,Marketing Manager,11
